id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;
7479347;Downtown Montreal Modern Appartment;4810916;Amin;;Ville-Marie;45.507041756909054;-73.56768318027257;Entire home/apt;95;2;104;14/05/2018;3.06;1;106;
7479953;Cozy Room in Lower Plateau;39160657;David;;Le Plateau-Mont-Royal;45.51280470086704;-73.57370987038581;Private room;100;1;1;04/08/2015;0.03;2;0;
7480013;Airbnb Downtown, Mackay - Mezzanine D;778430;Like A Hotel;;Ville-Marie;45.494248206134394;-73.5751982191486;Entire home/apt;229;1;6;09/04/2018;0.23;50;148;
7480749;Airbnb Downtown, Mackay - Mezzanine C;778430;Like A Hotel;;Ville-Marie;45.49570259411316;-73.57551925654087;Entire home/apt;229;1;4;27/12/2017;0.13;50;151;
7481058;Downtown, Mackay Studio - B;778430;Like A Hotel;;Ville-Marie;45.4958940041691;-73.57507561290413;Entire home/apt;149;1;5;26/03/2018;0.15;50;129;
7481792;La jolie rue Des Erables du plateau;39181831;Sylvain;;Le Plateau-Mont-Royal;45.53541127478163;-73.57088252292007;Entire home/apt;100;2;13;23/05/2016;0.38;2;45;
7483976;Large One Bedroom Apartment with Balcony and Views;3073250;Dan;;Westmount;45.481228972268234;-73.5934257446472;Entire home/apt;45;3;34;13/05/2018;1.65;1;269;
7490946;Bright apt on 3rd fl of triplex;1424225;Modi;;Le Plateau-Mont-Royal;45.52242908851891;-73.59065707424486;Entire home/apt;150;2;5;07/08/2017;0.42;1;60;
7492555;Big, Bright Room  close to downtown;16504946;Gass;;Ville-Marie;45.53142853221804;-73.56121376131402;Private room;42;3;2;15/09/2015;0.06;1;0;
7492828;Kid-friendly family home;39242996;Rachel;;Westmount;45.48634464425393;-73.6003771295753;Entire home/apt;225;1;0;;;1;0;
7493480;Plateau/Mile end;39199517;Laetitia;;Outremont;45.50914414498979;-73.59728219432118;Entire home/apt;89;2;4;29/08/2016;0.12;2;0;
7494035;Right in the heart of Montreal!!;575127;Micheline;;Le Plateau-Mont-Royal;45.51768035133376;-73.57122881806092;Entire home/apt;125;1;3;07/09/2015;0.09;1;0;
7496358;Belle chambre près de tout!;9590364;Etienne;;Ville-Marie;45.529489437685676;-73.54431572008377;Private room;30;1;0;;;1;0;
7496709;3.SERVICED APT/SUBWAY 10ms DOWNTOWN;21364860;Uma & La MaisonThaiCo;;Mercier-Hochelaga-Maisonneuve;45.55381521726223;-73.5415185151142;Entire home/apt;75;31;83;13/05/2018;2.45;4;341;
7497106;Sunny spot in Villeray;33761706;Sebastien;;Villeray-Saint-Michel-Parc-Extension;45.5428041449337;-73.63609659578364;Entire home/apt;49;4;7;06/04/2016;0.21;1;0;
7498293;ROSEMONT BEACH - Very nice room!;39077064;Kevin;;Rosemont-La Petite-Patrie;45.54548450334021;-73.59807843126472;Private room;29;1;1;23/07/2015;0.03;1;0;
7499614;Lovely place, quiet, and very convenient;2021384;Claire;;Mercier-Hochelaga-Maisonneuve;45.545958924115055;-73.55599499900885;Private room;80;1;12;06/08/2017;0.35;2;288;
7500046;Appartement tres confort à Montréal;16522028;Sylvie;;Mont-Royal;45.520095723487586;-73.6283168774203;Entire home/apt;125;2;44;25/08/2017;1.30;2;360;
7500110;Mile End,chambre et entrée privées;34381827;Guilhem;;Le Plateau-Mont-Royal;45.52048780894157;-73.59254832401348;Private room;59;1;80;06/05/2018;2.36;2;284;
7500899;Cheers, come have a good time :);39291000;Natassa;;Villeray-Saint-Michel-Parc-Extension;45.544747487161445;-73.6156803631572;Private room;45;3;0;;;1;0;
7501076;Private room (& bathroom) heart Mtl & parking;23485615;AnTuan;;Ville-Marie;45.51500936462113;-73.5542664636954;Private room;89;3;24;04/05/2018;0.71;2;251;
7501651;Beautiful appartment in PLATEAU;6073477;Caroline;;Le Plateau-Mont-Royal;45.53878888652769;-73.57945969387711;Entire home/apt;70;2;1;29/08/2015;0.03;1;0;
7502399;Bright, cosy and charming apt;36492215;Mouna;;Côte-des-Neiges-Notre-Dame-de-Grâce;45.492203597906524;-73.63179261371592;Entire home/apt;58;2;2;05/09/2016;0.10;3;0;
7514740;Lovely apt Plateau/Parc La Fontaine;2404664;Nathalie;;Le Plateau-Mont-Royal;45.532934075826915;-73.56504666418225;Entire home/apt;89;3;9;10/08/2016;0.27;1;0;
7514827;La chambre de tes vacances!;39370504;Jean-Guilhem;;Villeray-Saint-Michel-Parc-Extension;45.54235047760736;-73.62310363308045;Private room;22;1;2;19/08/2015;0.06;2;0;
7516094;Bedroom for two;39160197;Kylar;;Le Plateau-Mont-Royal;45.51474596416418;-73.57882756864113;Private room;50;2;5;31/07/2016;0.15;1;0;
7516149;La Eve-Nana;28929260;Pierre & Mom;;Côte-des-Neiges-Notre-Dame-de-Grâce;45.485918406949814;-73.62487183338789;Private room;40;1;2;26/08/2015;0.06;4;365;
7516286;Pierro;28929260;Pierre & Mom;;Côte-des-Neiges-Notre-Dame-de-Grâce;45.486134873349755;-73.62537558617619;Private room;40;2;3;30/05/2016;0.09;4;365;
7516380;Entire Apartment (3 bedrooms);28929260;Pierre & Mom;;Côte-des-Neiges-Notre-Dame-de-Grâce;45.487290224738004;-73.62531030057869;Entire home/apt;75;2;29;06/03/2018;0.88;4;286;
7516981;#ChezAndrousse&Pierrot;39384308;Andréanne Et Pierre;;Villeray-Saint-Michel-Parc-Extension;45.53917690957809;-73.6142082559548;Private room;60;1;2;13/08/2015;0.06;1;0;
7517268;Lumière sur le plateau;39386711;Karine;;Le Plateau-Mont-Royal;45.53339113179511;-73.57317388752548;Entire home/apt;100;1;1;16/08/2015;0.03;1;0;
7517807;Spacious 2 Bedrooms Apt close to Metro Station;39391043;Giovanni;;Le Sud-Ouest;45.453303316206984;-73.5947866495835;Private room;18;2;6;21/08/2017;0.26;1;0;
7518154;Une belle grande chambre à louer maison privée;1327466;Marie Gyby;;Ahuntsic-Cartierville;45.528327270954115;-73.70125018050949;Private room;45;2;14;14/12/2017;0.41;4;337;
7525920;Downtown, Two Bed/Bath, with Free Parking;39437798;Philippe;;Ville-Marie;45.491383792906774;-73.56893232693008;Entire home/apt;329;2;34;15/08/2017;1.00;1;0;
7526132;This is your Balcony.;12907359;David;;Le Plateau-Mont-Royal;45.52101934064816;-73.5905985196819;Private room;89;2;27;28/08/2017;0.79;1;8;
7526598;Comfortable condo on the Plateau;39442094;Mathieu;;Le Plateau-Mont-Royal;45.53219718078824;-73.56369204124353;Entire home/apt;80;3;30;10/08/2017;1.31;1;109;
7527965;Chambre privée rue Mont-Royal;36683800;Charles-E.;;Le Plateau-Mont-Royal;45.530922439415825;-73.57606696682114;Private room;30;1;14;09/09/2016;0.41;2;364;
7528164;Big apartment Crémazie metro;39451173;Stéphanie;;Ahuntsic-Cartierville;45.54789366569048;-73.64613545799745;Entire home/apt;63;1;16;01/09/2016;0.47;1;8;
7528351;Appartement avec cour Plateau Mont-Royal;36683800;Charles-E.;;Le Plateau-Mont-Royal;45.531199639462415;-73.5756138152978;Entire home/apt;100;1;0;;;2;360;
7534406;Joli appart quartier Villeray;35079696;Caroline;;Villeray-Saint-Michel-Parc-Extension;45.539662684195136;-73.62511615056441;Entire home/apt;74;1;0;;;1;0;
7534684;"Sur ""Le Plateau"" appartement cosy !";3740859;Marc;;Le Plateau-Mont-Royal;45.5388899000177;-73.57491665510238;Entire home/apt;95;7;1;22/07/2017;0.10;1;135;
7534777;Unique Apartment in The Heart of Le Plateau;19045610;Bonnie;;Le Plateau-Mont-Royal;45.51854388987138;-73.5693971138977;Entire home/apt;99;3;8;22/04/2018;0.25;1;246;
7535153;市中心3个半;39478547;Jennifer;;Ville-Marie;45.50566748394067;-73.56941825703456;Entire home/apt;99;1;11;07/08/2017;0.33;2;227;
7541472;Appartement au coeur du plateau;39506089;Léa;;Le Plateau-Mont-Royal;45.51834914558897;-73.57880730390876;Private room;35;1;1;31/07/2015;0.03;1;0;
7544029;Cozy room in front of a great park;6682699;Catherine;;Rosemont-La Petite-Patrie;45.551270658113026;-73.59160766024253;Private room;35;1;0;;;1;0;
7544832;Sunny Plateau Apartment;37046146;Alex;;Le Plateau-Mont-Royal;45.53095091128095;-73.58056919349787;Entire home/apt;59;1;2;24/08/2015;0.06;1;0;
7544895;Beautiful apartment in Mile End;21658338;Mélanie;;Le Plateau-Mont-Royal;45.525347406407896;-73.60564018949904;Entire home/apt;210;3;4;30/05/2016;0.12;1;0;
7545607;Sweet apt in sweet neighborhood;18928954;Marie-Pierre;;Villeray-Saint-Michel-Parc-Extension;45.54735939339781;-73.6342231584909;Entire home/apt;52;3;8;01/04/2018;0.24;1;8;
7547078;Chambre dans une colocation de 4;2381464;Jessica;;Le Plateau-Mont-Royal;45.52460542773136;-73.60500389313987;Private room;26;1;0;;;1;0;
7548164;Quiet clean renovated private room;26125193;Laure;;Le Plateau-Mont-Royal;45.53432518234273;-73.58634912805609;Private room;55;2;43;21/09/2017;1.27;1;60;
7548200;Adorable house in heart of Montreal;39555178;Jean-Philippe;;Le Plateau-Mont-Royal;45.50935207195529;-73.57500271065196;Entire home/apt;300;2;77;17/04/2018;2.28;1;100;
7555271;Comfortable, Quiet & Very Central!!;10182240;Karine;;Le Sud-Ouest;45.48280435564704;-73.564576321987;Entire home/apt;70;2;2;29/03/2016;0.07;1;0;
7555540;Cozy, stylish apartment in Montreal;39602597;Isabelle;;Villeray-Saint-Michel-Parc-Extension;45.54721661945663;-73.63662485072928;Entire home/apt;65;1;0;;;1;0;
7556243;Designer Bohemian in the Mile-End!;487327;Louis;;Le Plateau-Mont-Royal;45.52454706673484;-73.59883591141096;Entire home/apt;70;3;140;29/04/2018;4.13;11;304;
7556501;A beautiful and vast apartment;39044832;Manuel;;Le Plateau-Mont-Royal;45.534849592837794;-73.56904699109798;Private room;64;1;1;18/04/2018;1;1;281;
7557562;Spacious and sunny in Rosemont!;3763630;Sun & Rébecca;;Rosemont-La Petite-Patrie;45.536012580668114;-73.59250546649163;Entire home/apt;89;3;20;30/12/2017;0.59;1;135;
7557742;★☆★ CubaHaus ★☆★ C.1-Apt.3-Room 1;6508215;CubaHaus International;;Ville-Marie;45.511252076441984;-73.5649647069622;Private room;50;25;5;15/08/2016;0.15;22;230;
7560488;Joli 3 et demi Rosemont;8503738;Anaïs;;Rosemont-La Petite-Patrie;45.54764695814397;-73.58508584215303;Entire home/apt;73;1;1;17/08/2015;0.03;1;0;
7560702;Charming 2BR apartment downtown Mtl;39633709;Thomas;;Ville-Marie;45.51680598278913;-73.55755099487416;Entire home/apt;119;5;0;;;1;0;
7561453;Grand appartement chaleureux meublé;39637514;Robert;;Mercier-Hochelaga-Maisonneuve;45.61098736608974;-73.51492806220446;Entire home/apt;40;1;1;16/12/2015;0.03;1;0;
7562998;Quiet and sunny room with terrasse;35141820;Ludovic & Sylvie;;Villeray-Saint-Michel-Parc-Extension;45.532001187343134;-73.62679704291347;Private room;36;1;13;16/10/2015;0.38;1;45;
7564768;Traveler's Casa in St-Henri;13153940;Elisabeth;;Le Sud-Ouest;45.47535639049331;-73.58314698246527;Entire home/apt;95;3;32;25/08/2017;0.94;1;0;
7565224;Cozy and Spacious Apartment in Heart of Mile-End;25301131;Stephane;;Le Plateau-Mont-Royal;45.52021455002462;-73.59849658503809;Entire home/apt;71;29;2;01/08/2016;0.06;1;0;
7573215;Lovely room in Heart of Plateau;12615515;Marjorie;;Le Plateau-Mont-Royal;45.5214106406147;-73.58328411884068;Private room;49;1;22;12/08/2017;0.65;2;50;
7573702;Mile End Central Beauty;39707604;Robben;;Le Plateau-Mont-Royal;45.52218920249045;-73.60229415624623;Entire home/apt;125;1;2;16/08/2015;0.06;1;0;
7574636;Private room - Plateau Mt-Royal!;9192248;Camille;;Le Plateau-Mont-Royal;45.52913264884078;-73.58172133099599;Private room;51;1;1;03/08/2015;0.03;1;0;
7575253;Le Beau Coin;39716321;Sofiane;;Ahuntsic-Cartierville;45.55667632856129;-73.6577613670079;Entire home/apt;50;2;6;26/07/2016;0.23;1;0;
7576098;Condo idéal / Ideal Condo;10618681;Laurie;;Verdun;45.452632940901594;-73.5829347506621;Entire home/apt;180;1;1;04/08/2015;0.03;1;0;
7577772;Beautiful sunny home in Villeray;39731927;Vanya;;Villeray-Saint-Michel-Parc-Extension;45.55108066136642;-73.62083825455925;Private room;40;1;1;03/08/2015;0.03;1;0;
7578738;appartement a 5mns du centre ville;39521798;Emilie;;Le Sud-Ouest;45.4805613811564;-73.55143638117386;Entire home/apt;81;1;0;;;1;0;
7578881;Mile-End castle;4307442;Vanessa;;Le Plateau-Mont-Royal;45.519723872133106;-73.59884590523937;Entire home/apt;180;2;33;01/01/2018;0.97;1;282;
7579007;charming, spacious and sunny apt;39738982;Anthony;;Le Sud-Ouest;45.45404688509783;-73.59158924333794;Entire home/apt;68;1;0;;;1;0;
7579481;Plateau/Metro Mont-Royal + terrace;16237836;Jeanne;;Le Plateau-Mont-Royal;45.52331094146325;-73.57688878438496;Private room;42;2;18;27/07/2016;0.53;1;0;
7580922;chambre en face du parc lafontaine;39750561;Margo;;Le Plateau-Mont-Royal;45.53171809722829;-73.56954992875102;Private room;29;1;0;;;1;0;
7581002;Chambre privée au cœur de Montreal!;6167603;;;Ville-Marie;45.51897751884823;-73.56455112520825;Private room;55;2;23;04/05/2018;0.68;3;301;
7581739;Central, Berri UQAM (Métro);31277227;André-Léonard;;Ville-Marie;45.516641201749685;-73.55456958899717;Private room;85;1;39;30/04/2018;1.34;2;355;
7582259;Apartment in heart of downtown.;34063217;Daniel;;Ville-Marie;45.495549194398805;-73.58059064070528;Entire home/apt;89;2;5;06/09/2015;0.15;1;0;
7582446;Parfaite maison, quartier parfait!;2058736;Marilize;;Rosemont-La Petite-Patrie;45.544013845012266;-73.59233819975059;Entire home/apt;99;1;0;;;1;0;
7582457;MoNtReaL ChaRm ¬ Mile End;3833057;Cedric;;Le Plateau-Mont-Royal;45.520836615095654;-73.59871026390724;Entire home/apt;71;2;57;03/05/2018;1.68;1;45;
7582568;Quiet location at edge of Mile End;5324735;Joni;;Le Plateau-Mont-Royal;45.52774184709053;-73.5912708435421;Private room;59;2;5;09/07/2017;0.15;1;365;
7583134;Quiet and Clean in Plateau Mont-Royal Studio 14;6312297;Katherine;;Le Plateau-Mont-Royal;45.52781101170616;-73.57495145618313;Entire home/apt;100;1;6;15/08/2017;0.18;18;278;
7583553;Cozy Studio in Downtown;18196880;Sarah;;Ville-Marie;45.501533958061195;-73.57948421648412;Entire home/apt;50;4;13;07/09/2016;0.56;1;0;
7583819;Giant Room in Outremont Home;39076512;Gillian & Liz;;Outremont;45.52157913973657;-73.60909175490998;Private room;60;2;10;26/07/2017;0.29;5;0;
7583947;Beautiful Bedroom in Outremont Home;39076512;Gillian & Liz;;Outremont;45.52293582208657;-73.60912840269638;Private room;42;2;13;07/08/2017;0.38;5;0;
7584139;Sunny room with private balcony;39076512;Gillian & Liz;;Outremont;45.52156662184847;-73.60747194268478;Private room;40;1;6;29/12/2015;0.18;5;277;
7584351;Cozy Bedroom in Outremont Home;39076512;Gillian & Liz;;Outremont;45.52248943883745;-73.60745934513413;Private room;26;2;9;26/04/2017;0.27;5;0;
7584892;Amazing Outremont Apartment!;3345978;Mathieu;;Le Plateau-Mont-Royal;45.51943160390257;-73.59794645458778;Entire home/apt;83;30;5;29/04/2018;0.48;3;243;
7591118;Chambre impeccable condo;39809002;Cathy;;Saint-Léonard;45.572762779909375;-73.58578337762458;Private room;35;30;6;01/11/2017;0.18;1;121;
7594714;DOWNTOWN : Unique and Authentic Montreal Loft;18158263;Cedrick;;Le Plateau-Mont-Royal;45.51185218970446;-73.5713154927074;Entire home/apt;99;2;71;15/04/2018;2.10;2;28;
7595247;Grande chambre bien située!;39828933;Véronique;;Rosemont-La Petite-Patrie;45.53860031296171;-73.610569157889;Private room;26;2;2;23/08/2015;0.06;1;0;
7595297;Secret 2-story cottage by the park;3369680;Caroline & Maxime;;Le Plateau-Mont-Royal;45.526019113615625;-73.57313902711265;Entire home/apt;139;6;11;25/09/2016;0.32;1;45;
7597435;Cozy and Quiet Room in the Mile-End;21425556;Stephanie;;Le Plateau-Mont-Royal;45.51828500489168;-73.59278116181423;Private room;60;2;56;20/11/2017;1.65;2;150;
7597471;Condo grand 3 1/2 à Montréal;35167208;Ahmed;;Anjou;45.596979648386984;-73.5562264481788;Entire home/apt;55;30;1;03/09/2016;0.05;1;257;
7598088;3220 Ridgewood (Spacious Penthouse with Parking);39844170;Kim;;Côte-des-Neiges-Notre-Dame-de-Grâce;45.49443365890971;-73.61033635647604;Entire home/apt;251;1;77;14/05/2018;4.68;6;288;
7599338;Luxury condo@Old Port and Downtown;39849487;Rita;;Ville-Marie;45.51083781661966;-73.55407396445251;Entire home/apt;129;14;136;03/03/2018;4.03;2;308;
7601026;Appartement 2 étages avec parking;9409354;Colette;;Ville-Marie;45.52000012058045;-73.56522920134711;Entire home/apt;100;2;1;07/09/2015;0.03;1;0;
7601640;Charming Loft in Little Italy;39862805;Kyle;;Rosemont-La Petite-Patrie;45.531603309472565;-73.60718380610358;Entire home/apt;75;1;1;03/08/2015;0.03;1;0;
7602201;Room to rent;3331137;Andréanne;;Le Plateau-Mont-Royal;45.5232370923152;-73.58275305063997;Private room;71;1;1;27/01/2018;0.27;2;305;
7602866;Charming apartment near Jean Talon Market;317974;Sacha;;Villeray-Saint-Michel-Parc-Extension;45.54123587190131;-73.61858292948953;Entire home/apt;139;3;2;31/12/2016;0.06;1;0;
7603017;Jolie apartment sur le plateau;39872252;Chaimae;;Le Plateau-Mont-Royal;45.52001238378407;-73.58300844567421;Entire home/apt;300;1;0;;;1;365;
7603898;Nice Room Montreal Plateau Mont-Royal;10391386;Charles;;Le Plateau-Mont-Royal;45.521982122728964;-73.57537421617359;Private room;60;1;219;28/04/2018;6.45;2;10;
7604076;Quiet apt in the liveliest quarter!;39880860;Danijel;;Le Plateau-Mont-Royal;45.51560881942487;-73.58099908907664;Entire home/apt;153;1;5;04/09/2017;0.15;1;81;
7609071;8 pièces avec terrasse dans Homa;1020039;Sandra-Dalhie;;Mercier-Hochelaga-Maisonneuve;45.55480535958823;-73.5299897718149;Entire home/apt;71;6;5;28/03/2017;0.17;1;154;
7609788;Artistic 1 Bedroom Amazing View MTL;39141702;Natalie;;Ville-Marie;45.536854167710956;-73.55984560927672;Entire home/apt;159;1;3;16/08/2017;0.09;1;365;
7611043;Adorable Appartement Terrasse;4676960;Julie;;Le Plateau-Mont-Royal;45.53505264273798;-73.57605426830611;Entire home/apt;80;2;77;10/05/2018;2.32;1;171;
7611219;4 persons apartment- 3min subway;20651331;Simon;;Villeray-Saint-Michel-Parc-Extension;45.54690251658221;-73.62898958987334;Entire home/apt;80;2;20;29/10/2017;0.59;1;2;
7613204;Amazing Suite & Stylish @ Downtown Le Masolino;38459934;Alejandro;;Ville-Marie;45.50342393415314;-73.56478571076134;Entire home/apt;84;2;22;13/04/2018;0.65;187;361;
7613341;Amazing Corporate loft PlaceD'Armes Le Boticelli;38459934;Alejandro;;Ville-Marie;45.502032006416385;-73.56297872792675;Entire home/apt;116;2;16;25/07/2017;0.48;187;342;
7613496;Loft4u | Loft for executive stay Le Signorelli;38459934;Alejandro;;Ville-Marie;45.50274656512339;-73.56476810821448;Entire home/apt;116;2;4;18/04/2018;0.17;187;362;
7613535;Loft4u | Furnished luxury loft Le Giorgione;38459934;Alejandro;;Ville-Marie;45.50381911418123;-73.56504420470547;Entire home/apt;85;2;10;03/01/2017;0.29;187;302;
7613589;Loft Luxury Loft Festivals Blend Giovanni Bellini;38459934;Alejandro;;Ville-Marie;45.50338478645513;-73.56447832790593;Entire home/apt;89;2;9;12/06/2017;0.27;187;350;
7613637;The Loft MTL Soul Industrial & Stylish El Greco;38459934;Alejandro;;Ville-Marie;45.50275439463043;-73.56300245196655;Entire home/apt;71;2;20;02/04/2018;0.60;187;358;
7613684;Perfect for business travel Suite - Le Tintoretto;38459934;Alejandro;;Ville-Marie;45.50196017472812;-73.56450334676576;Entire home/apt;71;2;6;03/05/2018;0.18;187;365;
